SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,Sr87Sr86,Nd143Nd144,Pb206Pb204,Pb207Pb204,Pb208Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr,Class
59.64383804,0.578098698,17.74164969,6.467617613,3.5283954989999997,6.977053247000001,3.657969345,1.4053778680000002,0.7040810000000001,0.5129020000000001,19.098,15.6,38.77,22.9,39.2,18.9,3.95,3.17,1.51,0.24,813.0,2.55,3.17,21.3,1051.0,0.19,8.55,15.7,86.0,CA
59.22193553,0.588033355,17.68086732,6.721963212,3.647800135,7.116200264,3.69763347,1.325566716,0.70408,0.512907,19.099,15.606,38.786,23.2,40.1,19.5,4.04,3.23,1.5,0.24,858.0,2.51,3.18,21.1,1109.0,0.2,8.89,15.8,87.0,CA
59.09775435,0.587987775,17.45028126,6.998272578,3.6674491739999997,7.245205297,3.697346857,1.255702706,0.7040649999999999,0.512926,19.072,15.610999999999999,38.766,20.4,35.8,17.7,3.79,3.21,1.52,0.24,705.0,2.36,2.98,17.9,978.0,0.19,7.05,16.0,79.0,CA
59.92365989999999,0.507827626,16.29031366,6.450185318,5.108148476,6.751120208,3.694197046,1.274547768,0.70412,0.512876,18.921,15.607000000000001,38.614000000000004,7.77,14.8,8.03,2.05,1.95,1.03,0.15,504.0,1.91,2.32,23.3,456.0,0.17,1.95,10.8,67.0,CA
60.66206988,0.508007482,16.48534083,6.197912632,4.572067336,6.6937456420000006,3.675583545,1.205272653,0.70406,0.512915,18.953,15.616,38.657,8.18,15.5,8.25,2.13,2.01,0.93,0.15,501.0,1.98,2.68,21.3,442.0,0.17,2.18,10.4,69.0,CA
60.00265528,0.527736596,16.13081672,6.560750559,5.247494081,6.770960103999999,3.61449782,1.145088841,0.704109,0.512889,18.974,15.629000000000001,38.717,8.89,16.9,8.98,2.22,2.16,1.11,0.17,515.0,2.14,2.75,24.2,438.0,0.2,2.03,12.1,76.0,CA
58.43302163,0.697172578,17.0110109,6.9274608529999995,4.770652354,7.031483428,3.6750954460000003,1.454102805,0.704199,0.512824,18.913,15.622,38.677,13.1,25.1,13.1,3.16,2.78,0.93,0.15,586.0,2.47,3.89,27.3,555.0,0.25,2.62,11.4,89.0,CA
59.87842955,0.5281339270000001,17.53803229,6.809273899,3.368099382,7.1447551979999995,3.647113532,1.086162227,0.704015,0.512905,19.123,15.617,38.833,14.1,25.9,13.4,3.07,2.66,1.34,0.22,495.0,2.05,2.72,15.6,832.0,0.16,3.65,14.6,69.0,CA
58.91724329,0.67755328,16.99861611,6.587323554,4.643232771,6.825352892000001,3.935787434,1.4148906730000002,0.704246,0.512817,18.9,15.63,38.711999999999996,12.7,24.0,12.2,2.88,2.53,0.87,0.13,545.0,2.41,3.78,28.2,518.0,0.24,2.7,10.9,86.0,CA
61.53317672,0.478702185,17.80173751,5.895128762000001,2.702672754,6.69185763,3.859536368,1.037188068,0.704022,0.512898,19.073,15.618,38.784,13.2,24.5,12.8,2.81,2.55,1.3,0.21,466.0,2.2,2.82,15.8,720.0,0.17,3.06,13.9,77.0,CA
63.02509849,0.567703953,16.60285069,6.1196936829999995,2.73892258,5.467885441,4.422115002,1.055730158,0.7041390000000001,0.512954,18.921,15.595,38.571999999999996,7.77,15.6,9.4,2.57,2.51,0.99,0.16,494.0,2.41,2.95,16.2,419.0,0.21,1.02,11.7,79.0,CA
63.459877299999995,0.538217901,16.90402888,5.5925934129999995,2.571485526,5.342311015,4.55491816,1.0365678090000001,0.7041390000000001,0.512894,18.921,15.595999999999998,38.571999999999996,7.83,15.5,9.28,2.4,2.24,0.81,0.12,465.0,2.38,2.7,16.3,466.0,0.19,0.96,9.7,79.0,CA
61.06858407,0.617256637,15.83960177,7.013274336,4.3606194689999995,5.993362832000001,4.042035398,1.065265487,0.704117,0.512911,18.934,15.605,38.61,7.37,15.0,9.24,2.51,2.5,1.09,0.17,444.0,2.28,2.64,16.4,423.0,0.18,1.04,12.2,79.0,CA
61.65038339,0.607441994,16.23164673,6.7825490429999995,3.7243164889999996,5.7557618470000005,4.202303632,1.045596875,0.7041390000000001,0.512917,18.893,15.606,38.562,7.4,15.2,9.44,2.52,2.55,1.03,0.17,449.0,2.3,2.75,15.7,424.0,0.18,1.05,12.1,80.0,CA
65.87460064,0.459265176,16.96285942,3.893769968,1.9968051119999999,4.522763578,4.672523962,1.617412141,0.704033,0.512861,18.985,15.644,38.75,12.1,22.9,11.4,2.58,2.18,0.72,0.11,589.0,2.59,3.47,30.9,533.0,0.29,3.55,8.87,88.0,CA
74.41700351,0.239861413,14.12184071,1.3769821880000002,0.379780571,1.25927242,3.57793275,4.6273264339999995,0.704432,0.512737,18.993,15.668,38.873000000000005,32.2,53.7,19.6,3.52,2.64,1.28,0.2,1047.0,5.25,11.6,182.0,221.0,1.23,21.5,12.8,169.0,CA
57.4887238,0.7760679229999999,16.11833378,7.628018042000001,6.367736799999999,7.193552666,3.163969223,1.263597771,0.704036,0.512841,18.956,15.613,38.68,10.3,20.0,10.4,2.77,2.72,1.2,0.19,442.0,2.32,4.42,34.3,399.0,0.39,4.23,13.3,77.0,CA
74.55426077,0.209955676,14.21699863,1.210855486,0.279940901,1.19974672,4.379075528,3.9491662869999997,0.704337,0.512776,18.918,15.632,38.732,31.3,51.5,16.9,2.9,2.05,1.02,0.16,1096.0,4.22,11.2,126.0,236.0,1.1,15.6,10.2,145.0,CA
62.24438903,0.7182044890000001,17.07730673,5.486284288999999,2.683291771,5.516209476,4.139650873,2.134663342,0.704317,0.512768,18.983,15.633,38.755,22.8,40.9,18.6,3.94,3.12,0.88,0.15,822.0,3.57,5.77,61.3,609.0,0.4,7.88,11.6,127.0,CA
62.07068635,0.798465173,16.38849767,5.511627648999999,3.1339758019999997,5.559313764,4.20192297,2.33551063,0.704234,0.512763,19.028,15.687999999999999,38.946999999999996,27.1,48.7,21.8,4.52,3.52,0.92,0.15,819.0,3.37,8.72,61.5,777.0,0.69,9.46,12.3,114.0,CA
62.99311278,0.75859239,16.58921778,5.1460068539999995,2.645091885,5.21033194,4.232147016,2.425499351,0.7042689999999999,0.512804,18.925,15.645999999999999,38.694,31.9,55.1,22.9,4.42,3.3,0.86,0.14,1021.0,3.56,8.23,59.9,749.0,0.6,10.2,11.5,127.0,CA
54.01459854,0.779922008,19.38806119,6.99930007,1.769823018,6.309369062999999,6.619338066,4.119588041,0.704156,0.512926,18.796,15.583,38.529,141.0,230.0,85.6,14.8,10.4,3.02,0.47,2797.0,6.87,54.3,106.0,2597.0,2.98,29.9,38.4,359.0,CA
43.37832867,1.725502436,15.87060961,12.95241492,6.330186261000001,14.24542708,4.444171971,1.053359045,0.704399,0.5129,18.872,15.602,38.66,102.0,187.0,88.5,17.6,13.5,2.73,0.4,1435.0,5.39,37.9,97.7,2582.0,1.94,18.3,41.9,231.0,CA
54.19651484,0.769666478,19.66148003,7.230200247000001,1.7692333319999998,6.087362142999999,6.327258187999999,3.958284743,0.70414,0.512889,18.792,15.581,38.52,139.0,227.0,84.2,14.5,10.0,3.01,0.46,2800.0,6.82,53.4,108.0,2560.0,2.95,29.4,37.5,353.0,CA
74.00055571,0.190052792,14.874131699999998,1.422617394,0.450125035,1.670464018,4.561267019,2.83078633,0.7041350000000001,0.5128229999999999,18.963,15.630999999999998,38.71,20.3,36.3,14.8,2.8,2.11,0.94,0.15,878.0,3.5,7.39,71.4,288.0,0.68,7.38,10.0,119.0,CA
71.96639701,0.25002222399999996,15.62138857,2.0112898919999997,0.610054227,2.310205352,4.570406258,2.660236465,0.704187,0.512839,18.951,15.637,38.716,20.9,36.8,14.9,2.88,2.29,0.99,0.17,912.0,3.61,6.5,63.6,353.0,0.53,6.74,10.5,128.0,CA
63.76748834,0.48967355100000004,17.14856762,4.2638241169999995,2.598267821,4.497001999,4.257161892,2.9780146569999997,0.704368,0.5127390000000001,18.816,15.644,38.754,28.3,49.6,21.1,4.11,3.19,1.44,0.23,1054.0,3.85,11.0,96.6,894.0,0.95,14.3,15.6,140.0,CA
64.08270452,0.38892397700000003,16.85337234,4.952963468,2.542964465,5.225542665,4.17843965,1.775088921,0.703947,0.512888,18.958,15.597000000000001,38.698,12.0,20.9,9.92,2.28,1.99,0.78,0.12,782.0,2.39,2.49,40.0,534.0,0.18,3.06,9.2,81.0,CA
56.20007987,1.038338658,15.56509585,8.087060702999999,5.251597444,7.158546326000001,3.7140575080000002,2.985223642,0.704144,0.512845,18.936,15.618,38.728,60.9,110.0,52.8,10.5,7.68,1.57,0.24,1283.0,6.36,11.2,86.0,1245.0,0.71,17.1,23.2,240.0,CA
55.54338081,1.05588206,18.159179199999997,8.367367267999999,3.924693695,7.112262178,4.163761331,1.673473454,0.704374,0.5127510000000001,18.924,15.642999999999999,38.762,26.5,49.3,24.3,5.3,4.45,1.47,0.22,782.0,3.7,7.99,37.5,875.0,0.49,4.89,18.2,132.0,CA
57.33746473,0.906324351,15.95529243,7.425441266,5.836330437999999,6.882089304,3.565539755,2.091517734,0.704163,0.512793,18.985,15.703,38.978,24.0,45.2,21.6,4.79,4.17,1.58,0.24,614.0,4.08,8.25,73.9,594.0,0.95,11.9,18.0,145.0,CA
58.2995549,0.656056372,16.11314211,8.559658055,4.93036304,6.759368684,3.817055257,0.864801582,0.704084,0.512893,18.933,15.602,38.619,11.9,24.4,15.0,3.97,3.88,1.49,0.24,485.0,3.43,4.24,21.9,438.0,0.3,0.99,18.2,120.0,CA
57.93837287,1.21702505,16.17047218,7.725559743,4.26956329,6.174905786,3.840611838,2.663489249,0.7068260000000001,0.5123,18.663,15.634,38.586999999999996,38.9,73.6,34.6,6.41,4.92,1.48,0.21,912.0,4.88,16.4,77.1,693.0,1.11,5.14,18.0,217.0,CA
76.85984381,0.13357994199999998,12.97780518,0.55487053,0.082203042,0.56514591,2.7949034110000004,6.0316481710000005,0.70713,0.512401,18.886,15.620999999999999,38.876,25.0,48.0,18.0,3.4,2.8,1.6,0.26,340.0,2.3,19.0,248.0,46.0,1.9,28.0,14.0,83.0,CA
76.17351215,0.104777871,13.78876781,0.764878458,0.188600168,0.712489522,3.153813915,5.113160101,0.70811,0.512459,18.932000000000002,15.640999999999998,38.864000000000004,17.0,31.0,13.0,2.9,2.6,1.6,0.25,1063.0,2.0,29.0,131.0,108.0,1.7,9.0,14.0,70.0,CA
71.62275199,0.313676286,15.65244668,1.9343370969999998,0.878293601,1.944792974,3.1890422419999997,4.464659138,0.70781,0.512404,18.954,15.636,38.855,41.0,75.0,28.0,4.8,3.6,1.7,0.28,1024.0,3.0,25.0,131.0,367.0,1.4,13.0,15.0,177.0,CA
76.34854772,0.114107884,13.08091286,0.736514523,0.197095436,0.829875519,3.298755187,5.394190871,0.70715,0.512504,18.942,15.642000000000001,38.888000000000005,26.0,47.0,19.0,3.7,3.2,2.1,0.33,596.0,2.6,23.0,206.0,62.0,1.9,15.0,19.0,85.0,CA
68.36531404,0.366991716,14.57481388,2.537485582,1.111460627,5.400020971,3.7433155080000002,3.900597672,0.7066899999999999,0.5124920000000001,18.962,15.642999999999999,39.001,34.0,59.0,20.0,3.2,2.4,1.1,0.19,335.0,2.8,29.0,146.0,301.0,2.3,27.0,8.0,122.0,CA
76.08470002,0.11417895,13.03716006,0.73697322,0.166078472,1.162549305,3.24891011,5.449449865,0.70791,0.512483,18.939,15.639000000000001,38.876999999999995,29.0,54.0,21.0,4.0,3.5,2.2,0.34,609.0,2.5,22.0,197.0,61.0,1.9,15.0,22.0,84.0,CA
65.04477612,0.427860697,17.592039800000002,4.268656716000001,1.6716417909999999,5.3034825869999995,4.587064677,1.104477612,0.704202,0.512861,18.889,15.587,38.552,6.7,14.3,7.7,1.8,1.5,0.7,0.1,597.0,1.9,2.6,17.9,481.0,0.2,1.0,8.6,94.0,CA
63.39928058,0.509592326,17.29616307,5.355715428,2.338129496,5.555555556,4.556354916,0.989208633,0.7041609999999999,0.512886,18.868,15.595999999999998,38.565,6.5,13.8,8.3,2.0,1.8,0.8,0.1,480.0,1.8,2.8,15.8,524.0,0.3,0.8,8.9,93.0,CA
64.82442139,0.428970471,17.55786113,4.329608939,1.705905826,5.317238627,4.71867518,1.117318436,0.7041649999999999,0.512895,18.906,15.604000000000001,38.619,6.5,13.9,7.6,1.6,1.4,0.8,0.1,587.0,1.9,2.8,17.8,482.0,0.3,1.0,8.4,94.0,CA
64.14227196,0.449595364,17.67409332,4.635827755,1.858327505,5.505045459,4.655809771,1.079028874,0.704153,0.51293,18.912,15.587,38.566,6.6,13.7,8.0,1.7,1.6,0.7,0.1,555.0,2.0,2.8,17.1,485.0,0.3,0.9,8.6,92.0,CA
62.93671391,0.558993811,17.23896985,5.659812337999999,2.415651827,5.719704532000001,4.43202236,1.038131364,0.7041149999999999,0.5129130000000001,18.933,15.609000000000002,38.645,7.0,14.9,9.2,2.0,2.2,1.1,0.2,589.0,2.2,3.1,16.8,464.0,0.3,1.0,10.2,91.0,CA
62.77,0.48,17.04,5.82,2.7,5.43,3.99,1.77,0.704041,0.512903,19.017,15.593,38.78,14.2,26.5,13.6,2.8,2.5,1.2,0.2,723.0,2.3,3.3,45.0,518.0,0.2,3.4,13.2,105.0,CA
62.60851803,0.48003268299999996,16.7500766,6.0667960370000005,2.726994178,5.6276171989999995,3.921969155,1.817996119,0.704002,0.512889,18.957,15.575,38.69,12.7,23.9,12.4,2.5,2.0,0.9,0.1,757.0,2.4,3.0,44.1,526.0,0.2,3.4,9.9,105.0,CA
